,user_name,user_location,date,text,rating
73,Leda🇮🇹,"Bauru, Brasil",2022-09-21 20:46:31+00:00,"@isaholiveiiira Fui pro Tusquinha e mesmo assim me dei bem, recomendo ir pros jogos 👍🏻 https://t.co/8vLFwNwHPM",
74,murilo,"São Carlos, Brasil",2022-09-21 20:45:24+00:00,vou perder o tusquinha pra gravar vídeo da sifsc vo me mata,
75,Gabriel Neres,"São Paulo, Brasil",2022-09-21 20:32:04+00:00,N tô afim de ir no tusquinha passar nervoso,
76,júlia ✨,,2022-09-21 20:29:55+00:00,com essa chuvinha adeus tusquinha,
77,Paulão da regulagem,"São Carlos, Brasil",2022-09-21 20:29:48+00:00,"@brantisonfire Tava pensando em ir no tusquinha, mas começou a chover e já desanimei kkkkkk",
78,piloti 🦇,,2022-09-21 20:26:36+00:00,o vi me arrastando pra esse tusquinha nessa chuva 💀💀,
79,༺🍃☞ 𝓽𝓮𝓼𝓽𝓲𝓷𝓱𝓪 ☪ツ,"São Carlos, Brasil",2022-09-21 20:24:05+00:00,"Fui pegar minha mochila p ir p tusquinha e achei fofo como eu minto p mim mesmo, tinha tirado as coisas e colocado o caderno dps de voltar ontem, crente que ia na aula das 8h...
Não fui nem na das 16h........",
80,Mortícia Adams,"São Carlos, Brasil",2022-09-21 20:08:38+00:00,Estudei a tarde pra não me sentir mal pq eu vou ao tusquinha,
81,Maria Clara Ghidini,"São Carlos, Brasil",2022-09-21 20:04:08+00:00,Fui convidada pra fotografar os jogos do tusquinha,
82,John Ramicle,onde a inveja não tem vez ,2022-09-21 19:59:19+00:00,Alguém querendo carona pro tusquinha hj?,
83,zézin,Brasil,2022-09-21 19:53:24+00:00,hmm serase vou no tusquinha hj? Pensando pensamentos aqui,
84,vi wolpiano,Brasil,2022-09-21 19:39:26+00:00,o tusquinha foi bom ontem? compensa ir hoje???,
85,dj gabs,São Carlos ,2022-09-21 19:28:48+00:00,"e o heitor que chegou em casa do tusquinha 9h30 da manhã eu acordando pra ir trabalhar ele bêbado e cá está desde então na sala bebendo, será q desistiu da vida ou está levando a vida q sempre sonhei",
86,𝖒 𝖆 𝖗 𝖎,são carlos sp,2022-09-21 19:09:57+00:00,vocês vão no tusquinha?,
87,rod Ψ,,2022-09-21 19:06:12+00:00,quem foram os canalhas que marcaram o tusquinha no meio da semana que tristeza,
88,Igor,,2022-09-21 18:54:49+00:00,@valdes__amanda bebe cantinho comigo no tusquinha,
