,user_name,user_location,date,text,rating
59,Nesca,"Praia Grande, Brasil",2022-09-09 20:11:30+00:00,"@gabigraner_ Tava só voltando do Tusca pô, coisa rotineira",
60,Allanzinho,,2022-09-09 20:03:47+00:00,"@_Gsusss KKKKKKK AI VC JURA, mais barato ir pro tusca do que pro RiR kkk
Só a estadia no rio seria meu rim",
61,Cabeça,,2022-09-09 18:43:44+00:00,"Infelizmente acabou a competitividade. Não existe mais nenhum adversário a altura da @educauem no JUS. Talvez, a exemplo da Austrália, que se mudou da Oceania para o futebol asiático em busca de maiores desafios, esteja na hora da Fúria ir pra SP jogar o TUSCA. https://t.co/hx7aQEDotF",
62,Letícia,,2022-09-09 17:41:22+00:00,"Pensando sobre a fogo na roupa mês que vem, queria mas não sei pq tem tusca em novembro também",
63,Atraso em português,,2022-09-09 17:37:46+00:00,@vitor_vicente_ @GabicastaldiEtc Eu quero tusca 🥺,
64,Gelado,"Sao Paulo, Brazil",2022-09-09 16:40:45+00:00,"@vitor_vicente_ @GabicastaldiEtc Eu sou contra a ideia do Tusca, sou 100% team Inter",
65,twitch.tv/jogando1verde,,2022-09-09 16:25:40+00:00,@GabicastaldiEtc Mas ces não quer vir pro tusca?,
66,all about ana,,2022-09-09 16:23:12+00:00,@renataderosis ja no TUSCA e no interbatuc rola tudo isso né mega limpo!!!,
67,twitch.tv/jogando1verde,,2022-09-09 16:16:15+00:00,Rodolfo desgraçado quer ir no inter e fazer minha decisão de ir no tusca ou inter ficar muito mais difícil,
68,vivis,🏳️‍🌈,2022-09-09 15:41:23+00:00,n vejo a hora d vender essa porra d tusca,
69,Helena,,2022-09-09 15:27:17+00:00,"Preciso vender o tusca urgentemente pra eu conseguir pagar minha praia, difícil ser pobre",
70,brisa 🚫🚫🚫🚫,,2022-09-09 15:18:34+00:00,"@_Petunio Não falta muito pro Tusca chegar nesse preço aí, rolê universitário também será só para os estruturados, futuramente kkkkk",
71,Bot TUSCA 2022,Arena Tusca,2022-09-09 15:01:14+00:00,Faltam 64 dias para o início do TUSCA,
72,caio,ele/dele ,2022-09-09 14:57:46+00:00,tusca so ta apresentando bomba,
73,Rafael Alvarez,"Santos, Brasil",2022-09-09 14:33:50+00:00,"Estou vivo ainda apenas para: 
fim do semestre 
Bailao 
Férias 
Tusca 
Copa do Mundo",
74,soueuojao,,2022-09-09 13:40:42+00:00,"estou sedenta por um pacote tusca, mas nao quero pagar 600$ e nem cair em golpe",
75,vitorinha,Brasil,2022-09-09 13:27:23+00:00,comentei com meu tio sobre o tusca e ele disse que dps conversava comigo mas até agora nadaaa 🥺🥺🥺,
76,Gabriela,São José dos Campos,2022-09-09 13:00:49+00:00,pelo amor de deus alguém compra o meu tusca,
77,𝒦𝒶𝓇𝑜𝓁,,2022-09-09 12:01:53+00:00,"Vender o Tusca pra ir no liu, será uma boa opção? 🥵",
78,ghi,,2022-09-09 09:12:21+00:00,mano os cara me confirmar o ret no tusca é de cair o cu da bunda de vdd,
79,Yasuke,"Sao Paulo, Brazil",2022-09-09 04:36:46+00:00,Nem preciso falar o quão errado é ir no tusca né? Literalmente erro da vida,
80,☾ 𝕟𝕒,"São Paulo, Brasil",2022-09-09 03:37:08+00:00,só quero saber qual vai ser a atração de pagode no tusca,
81,camaleoa,,2022-09-09 02:51:18+00:00,"Qualé inter vamo se mexer, o tusca ta anos luz na sua frente nas atrações 😫",
82,"Prazer, Camula",,2022-09-09 02:51:05+00:00,nao sei se vou ter a pachorra de levar droga pro tusca mas se me oferecerem n recusarei nem fudendo HAHAHAH,
83,pedro fittipaldi,Pálido Ponto Azul ,2022-09-09 02:42:41+00:00,depois toma chinelada no tusca e ainda quer reclamar https://t.co/K68BcHEElp,
84,mvl,,2022-09-09 02:30:14+00:00,"Lembrando que meu pai queria que eu levasse a galocha dele pro tusca, detalhe que o bico da bota é o solado da galocha de AÇO. 
Se eu chutar o pé de alguém ou pisar no dedo, eu amputo na hora o pé da pessoa kkkkkkkkk vai ser só choro e vela",
85,mistouaite,Guarulhos,2022-09-09 01:12:47+00:00,"seguinte, o Tusca vai anunciar um pagode daqui 5 dias e dependendo qm for eu vendo o inter fodase ngm anuncia nada la",
86,Natalie Del Pilar,,2022-09-09 00:43:45+00:00,@lpolatinho MINHA AMIGA VENDE TUSCA NO PREÇINHO LOTES ANTERIORES 🗣🗣🗣🗣🗣🗣👏🗣👏👏👏,
87,Portu,,2022-09-08 23:50:56+00:00,pensando em vender o tusca,
88,breno,,2022-09-08 23:44:03+00:00,@alexcxandre vem pro tusca amor,
89,lupersio venancio,,2022-09-08 23:05:03+00:00,queria o dilsinho no tusca,
90,Giovanni Stoppa,,2022-09-08 22:50:56+00:00,Pagode no Tusca vai ser Turma do Pagode ou Menos é Mais,
91,gabriela,"Ribeirão Preto, Brasil",2022-09-08 22:48:03+00:00,nossa eu só queria xamã no tusca desse ano só isso mais nada🥺,
92,Cururu do choquinho ⚡️,"São Carlos, Brasil",2022-09-08 22:46:29+00:00,Amo q rivalidade só no tusca vida real eu amo beijar caaso e troco fornecedor com os amigos da usp ❤️,
93,Acre,"São Carlos, Brasil",2022-09-08 22:04:02+00:00,@leleodotuiter Amigo tusca ta trazendo tasha e tracie as gays já tem mais qfe o necessário,
94,Acre,"São Carlos, Brasil",2022-09-08 22:02:25+00:00,@leleodotuiter Ela já vai no tusca então acho improvável,
95,tícia,,2022-09-08 21:59:33+00:00,será q vendo meu tusca p comprar dnv mais barato,
96,Mamari 🌊,✩𝒂𝒕 𝒕𝒉𝒆 𝒐𝒑𝒆𝒓𝒂 ✩,2022-09-08 21:53:18+00:00,Dei comida pra tusca 🥺🤍,
97,morgs,jaguariúna ,2022-09-08 21:50:54+00:00,do jeito q ta as atrações jaja vendo meu tusca tnc,
98,Bot de cadeira,bot,2022-09-08 21:37:42+00:00,RT @henriqsqs: será que no tusca tem cadeira pra eu sentar e assistir o show? tem sala privativa????? não quero passar perrengue!! https://…,
99,henriq,"São Paulo, Brasil",2022-09-08 21:37:36+00:00,será que no tusca tem cadeira pra eu sentar e assistir o show? tem sala privativa????? não quero passar perrengue!! https://t.co/fUvqRQXqAI,
100,Acre,"São Carlos, Brasil",2022-09-08 21:35:23+00:00,A ies pisa tanto no tusca eita como atrai,
101,mazutti,"São Carlos, Brasil",2022-09-08 20:56:28+00:00,"@clarzp nossa amassaram pqp
surra no line do tusca ja",
102,churchinha #teamdeolane ⚖️,ura-aqa,2022-09-08 20:33:53+00:00,"se esse for o mesmo setlist do tusca eu vou surtar, coitadas da star e da laurinha q vão estar cmg  #GloriaGrooveNoRockInRio
#GloriaGrooveNoMultishow",
103,contraçao lantanidica,morra,2022-09-08 20:24:36+00:00,sempre q eu falo do tusca com os amigo eu fico mais ansioso meu deus do ceuuuuuuuu como vou aguentar,
104,HATER MÉDIO DO AT5,"São Carlos, Brasil",2022-09-08 20:23:09+00:00,qndo vao anunciar a letrux no palco mundo do tusca????,
105,madu,027,2022-09-08 20:22:25+00:00,serio mesmo que tusca nao vai anunciar o matue?,
106,alecx ☕,Brasil,2022-09-08 20:15:21+00:00,"já me chamaram de feio mas de ""cara de tusca"" foi a primeira vez",
107,kerolyn é lula 13,"Votorantim, Brasil",2022-09-08 20:12:24+00:00,finalmente tusca vai anunciar atração de pagode,
108,Cansada & mal paga,,2022-09-08 20:08:14+00:00,Eu já tô pronta pro show da Lady Leste no tusca!!!,
109,gabriela,,2022-09-08 19:55:33+00:00,me preparando psicologicamente pra meter o tusca e o bloquim no meu cartao,
110,𝑙𝑢𝑑,jacarei | são carlos,2022-09-08 19:54:35+00:00,"além de ficar ansiosa pro tusca tenho que ficar ansiosa pra divulgação das atrações 
eh mole",
111,"errei vida, fui mlk",Santo André ,2022-09-08 19:50:06+00:00,Vai ter Pitty no Tusca pqp,
112,tavora,"Itatiba, Brasil",2022-09-08 19:21:08+00:00,Que tusca o que vo compra uma moto,
113,ana bê,mg | sp,2022-09-08 18:58:30+00:00,Vou vender o tusca pra aguentar fazer tudo q preciso fazer vai ser o jeito,
114,lucas,"Santa Adélia, Brasil",2022-09-08 18:13:55+00:00,ngm quer um tusca aí não na moral preço de lotes anteriores,
115,Treineiro Ainda,,2022-09-08 18:02:08+00:00,"@azarzinho Aqui em Bloomington IN tem uma corrida universitária de bicicleta que atrai 25 mil pessoas, e eles dizem ser ""The World's Greatest College Weekend"". Qdo li isso eu caí na gargalhada, pensando ""heushsuhe tadin sabem nem o q é TUSCA e INTERUNESP"".",
116,ridin my pony,,2022-09-08 18:00:06+00:00,vocês aí pagando 600 conto na tusca https://t.co/39xHbkh7F0,
