,user_name,user_location,date,text,rating
92,Furlanetto014,,2022-09-27 02:45:24+00:00,@jaqsantana_ Pode alugar pro tusca já,
93,Gabi,,2022-09-27 02:24:02+00:00,Vou fechar o camping pro tusca as meninas me respondendo ou não,
94,gaz toxico,piracicaba/sp ,2022-09-27 02:04:46+00:00,"@exudoblues No tusca, já pensou?",
95,biz cabeça de nós todos 🌿,,2022-09-27 01:37:29+00:00,"tô fissurado nessa faculdade já decorei o hino pra gritar na tusca desenhei e colei o mascote na minha cabeceira e tô vendo kitnet em são carlos, pois q os astros tratem de se alinhar pra td isso dar certo e eu virar bixo da ufscar",
96,placas buc*tonicas,,2022-09-27 01:27:15+00:00,"Em situação de pânico, procurando onde ficar no tusca",
97,Registro 🤝,,2022-09-27 00:56:07+00:00,@Vitor_Henriique @eunaoseikkkj o tusca gatinho,
98,Fe,Jundiaí 🔄 Lorena,2022-09-27 00:34:15+00:00,Não sei se eu tô mais ansiosa pro tusca ou pras minhas férias mas faltam 47 fucking dias,
99,larissa 🏍,,2022-09-27 00:20:54+00:00,tem que ter uma coragem de querer ir pro tusca,
100,bufis,corinthians,2022-09-27 00:16:09+00:00,queria ir na virada surreal e no tusca mas não tenho amigos e tenho pais cricris 👎🏼👎🏼👎🏼,
101,tóquio,,2022-09-27 00:13:48+00:00,vou alugar meu quarto pro tusca fodase,
102,Stefany,"|22| Jales, Brasil",2022-09-26 23:45:02+00:00,"quase que eu e a letícia vai p tusca e ficamos p dormir na rua, pelo menos vamos estar no tusca",
103,livia 🧖🏼‍♀️,,2022-09-26 23:30:05+00:00,espero q a caneca do tusca seja bem grande viu,
104,castrola,santos beach,2022-09-26 23:14:00+00:00,alguém vai pro tusca cmg?,
105,Registro 🤝,,2022-09-26 22:46:16+00:00,"cara, o que aquele tusca vai ficar pequeno não é meme",
106,Franco Cavalcante,"Piratininga, Brasil",2022-09-26 22:45:09+00:00,Tusca chega nunca,
107,𝑙𝑢𝑑,jacarei | são carlos,2022-09-26 22:36:08+00:00,"no momento tô me forçando a gostar mais de matheus e kauan por causa do tusca, mas jorge e mateus, henrique e juliano e ícaro e gilmar quem não gosta não é gente",
108,scutti,,2022-09-26 22:29:23+00:00,"@cole_carvalho Eles vão no tusca, sabia ?",
109,paulo lião,,2022-09-26 22:15:14+00:00,esse ano vou manter a tradição de não pegar ngm no tusca,
110,rafitrix,Brasil,2022-09-26 22:07:09+00:00,festa essa sexta e a minha querida amiga já tá pensando no tusca https://t.co/CztBL9HkvM,
111,Venda Ingresso Bot,,2022-09-26 22:06:09+00:00,RT @Mutano_Z: Vendo ingresso Tusca 2022 3° lote Estudante,
112,Jotinha Mono Yasuo,,2022-09-26 22:05:51+00:00,Vendo ingresso Tusca 2022 3° lote Estudante,
113,Kaine Corrêa,"Taubaté, Brasil",2022-09-26 22:05:37+00:00,Queria mto ir no tusca pqp,
114,Louis 🗣,,2022-09-26 21:19:46+00:00,@DeMastracouzo Vende! Dá pra ir no Tusca também com o lucro.,
115,moodle,,2022-09-26 21:16:27+00:00,e se eu trocar tusca por ju + mini .......,
116,carolina ✨,she/her              pt-br/eng,2022-09-26 20:10:31+00:00,@FurlanettoRyanS vendo tusca inteira valor 1º lote,
117,carolina ✨,she/her              pt-br/eng,2022-09-26 20:10:24+00:00,@telllesjp vendo tusca inteira valor 1º lote,
118,carolina ✨,she/her              pt-br/eng,2022-09-26 20:10:08+00:00,@jheniffersfc vendo tusca inteira valor 1º lote,
119,carolina ✨,she/her              pt-br/eng,2022-09-26 20:09:43+00:00,@ecsfreitas vendo tusca inteira valor 1º lote,
120,carolina ✨,she/her              pt-br/eng,2022-09-26 20:09:17+00:00,@harrybareback vendo tusca inteira valor 1º lote,
121,carolina ✨,she/her              pt-br/eng,2022-09-26 20:08:21+00:00,@ThiagoDrew55 @charlisefcorrea vendo tusca inteira valor 1º lote,
122,RD,MG,2022-09-26 20:02:12+00:00,Quero nem ver a formatura da 20 e dps tusca,
123,Skolbrites,"Campo Grande, Brasil",2022-09-26 19:43:22+00:00,Vendo tusca estudante no precinho,
124,Toninho SOTELDIZADO,"Ribeirão Preto, Brasil",2022-09-26 19:25:09+00:00,@charlisefcorrea Já comprou seu tusca??,
125,.,sao carlos,2022-09-26 18:49:43+00:00,"@isabela_Hosts Ahhh to seguindo com o combinado kkkkkk encontro, Bailao e tusca… talvez o ribeirao trap ne",
